#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#id, rootname, filter_1, filter_2, propid, aperture, exptime, target_name, mtflag, subarray, mjd, date, focus, chip, psf_x_center, psf_y_center, x_raw, y_raw, x_cal, y_cal, psf_ra, psf_dec, psf_flux, flux_crude, pixc, mag, sky, qfit, n_sat_pixels, iso_index, wfpc2_data_set_name, program_id, hla_flag, previewURI, footprint
#@int, string, string, string, int, string, float, string, int, int, float, date, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, int, int, string, string, string, string, string
id,rootname,filter_1,filter_2,propid,aperture,exptime,target_name,mtflag,subarray,mjd,date,focus,chip,psf_x_center,psf_y_center,x_raw,y_raw,x_cal,y_cal,psf_ra,psf_dec,psf_flux,flux_crude,pixc,mag,sky,qfit,n_sat_pixels,iso_index,wfpc2_data_set_name,program_id,hla_flag,previewURI,footprint
21159788,u9zv3302m,F814W,,11130,PC1,600,SDSSJ084739.61+360444.4,0,0,54735.72729,9/26/2008 5:27:18 PM,-0.278688,1,417.9351,431.1353,416.9351,430.1353,416.9351,430.1353,131.91488108,36.07872042,46946.5,10833,7579.24,-11.679,230.48,0.1,0,24,U9ZV3302M,9ZV,Y,mast:HST/product/u9zv3302m_drw.jpg,POLYGON 131.92338798560223 36.07563009026672 131.91167974690427 36.07241190318384 131.90768035455733 36.0818675827375 131.91938738338868 36.08508893935825 131.92338798560223 36.07563009026672
15773334,u9wj8404m,F814W,,11030,WFALL-FIX,80,WCENICF,0,0,54514.29858,2/18/2008 7:09:57 AM,0.198034,1,449.4298,405.9557,448.4298,404.9557,448.4298,404.9557,201.78989606,-47.49205154,42681.6,12034.43,6252.38,-11.576,22.65,0.047,0,24,U9WJ8404M,9WJ,Y,mast:HST/product/u9wj8404m_drw.jpg,POLYGON 201.79681504213093 -47.49787325356122 201.7820205726933 -47.497919292826296 201.78193151929443 -47.487926559558666 201.796721697157 -47.48787726549133 201.79681504213093 -47.49787325356122
18841455,u9wj8408m,F814W,,11030,WFALL-FIX,80,WCENICF,0,0,54514.37358,2/18/2008 8:57:57 AM,-1.24628,1,408.2998,441.0214,407.2998,440.0214,407.2998,440.0214,201.7882464,-47.49325537,36265.9,10080.33,5914.96,-11.399,27.47,0.039,0,11,U9WJ8408M,9WJ,Y,mast:HST/product/u9wj8408m_drw.jpg,POLYGON 201.79683329506796 -47.49809190344433 201.78203876406837 -47.49813794269868 201.78194971034407 -47.48814520941982 201.7967399497292 -47.488095915363274 201.79683329506796 -47.49809190344433
24500130,u9wj8501m,F814W,,11030,WFALL-FIX,80,WCENICF,0,0,54514.63538,2/18/2008 3:14:57 PM,0.425496,1,449.3286,410.2628,448.3286,409.2628,448.3286,409.2628,201.78971393,-47.4921476,30037.9,10273.74,4622.09,-11.194,21.39,0.054,0,11,U9WJ8501M,9WJ,Y,mast:HST/product/u9wj8501m_drw.jpg,POLYGON 201.79663485614114 -47.49785001383125 201.78184039311233 -47.497896034424514 201.78175136738753 -47.48790330104504 201.7965415388544 -47.487854025644054 201.79663485614114 -47.49785001383125
15189032,ub0h5708m,F814W,,11547,PC1,260,STAR-CLUS-053605-673408,0,0,54710.81351,9/1/2008 7:31:28 PM,-0.89596,1,414.6312,425.4849,413.6312,424.4849,413.6312,424.4849,83.97972993,-67.57801486,33402.3,11821.2,4442.65,-11.309,15.25,0.098,0,24,UB0H5708M,B0H,Y,mast:HST/product/ub0h5708m_drw.jpg,POLYGON 83.99910114453974 -67.57580578801097 83.98600017846856 -67.58446282157692 83.96328972739941 -67.57947810907939 83.97638753313551 -67.57082212160893 83.99910114453974 -67.57580578801097
25342182,u9wj8507m,F814W,,11030,WFALL-FIX,80,WCENICF,0,0,54514.69858,2/18/2008 4:45:57 PM,1.10237,1,441.3534,413.9271,440.3534,412.9271,440.3534,412.9271,201.7894111,-47.49237669,42268.7,12478.46,6661.36,-11.565,19.97,0.059,0,24,U9WJ8507M,9WJ,Y,mast:HST/product/u9wj8507m_drw.jpg,POLYGON 201.79665703300546 -47.49797488682791 201.78186253480476 -47.49802090741586 201.78177350883948 -47.48802817403072 201.79656371545568 -47.48797889863512 201.79665703300546 -47.49797488682791
15889283,u9zv5l02m,F814W,,11130,PC1,600,SDSSJ073106.86+392644.6,0,0,54792.06613,11/22/2008 1:35:13 AM,-0.727807,1,424.6112,432.0901,423.6112,431.0901,423.6112,431.0901,112.77880877,39.44554474,69484.1,18770.17,9904.03,-12.105,134.77,0.091,0,24,U9ZV5L02M,9ZV,Y,mast:HST/product/u9zv5l02m_drw.jpg,POLYGON 112.78830418954678 39.44643463973323 112.7801131162964 39.43869537423898 112.77008107079727 39.44500690654104 112.77826768596381 39.452748184819356 112.78830418954678 39.44643463973323
23211253,ua0t030em,F814W,,11193,PC1,160,NGC3603FIELD3,0,0,54450.09626,12/16/2007 2:18:37 AM,-1.22975,1,436.3676,434.6229,435.3676,433.6229,435.3676,433.6229,168.90974093,-61.25626665,45091.6,15481.45,6086.68,-11.635,17.49,0.07,0,24,UA0T030EM,A0T,Y,mast:HST/product/ua0t030em_drw.jpg,POLYGON 168.92399708702547 -61.258138539612716 168.90598930241825 -61.26313239466793 168.89558332695935 -61.2544824947764 168.91358264227645 -61.249487676058514 168.92399708702547 -61.258138539612716
24489704,u9pl0305m,F814W,,10845,PC1,500,TERZAN5-WF,0,0,54212.66072,4/22/2007 3:51:27 PM,-0.472002,1,422.3989,417.6496,421.3989,416.6496,421.3989,416.6496,267.01777197,-24.77996089,82751.4,28483.75,11191.83,-12.294,293.35,0.089,0,22,U9PL0305M,9PL,Y,mast:HST/product/u9pl0305m_drw.jpg,POLYGON 267.02625805474133 -24.780323135649795 267.01819815070917 -24.787132207117686 267.0106885689273 -24.779826451311042 267.01874516418627 -24.773016056389963 267.02625805474133 -24.780323135649795
20506918,ua2l080am,F814W,,11233,WFALL-FIX,100,M22-WFPC2,0,0,54585.52022,4/29/2008 12:29:07 PM,-0.726552,1,433.1336,439.3606,432.1336,438.3606,432.1336,438.3606,279.12986923,-23.90283928,50203.1,16153.95,7829.23,-11.752,29.74,0.07,0,24,UA2L080AM,A2L,Y,mast:HST/product/ua2l080am_drw.jpg,POLYGON 279.1375884910017 -23.90231285048534 279.1303084686445 -23.909770379324293 279.1221426290303 -23.903127492268894 279.1294193635073 -23.895668902711073 279.1375884910017 -23.90231285048534
